Printing Modifier Definitions:
Tag: can_recruit_explorer, Categories: Country, , All, 
Tag: monthly_self_control, Categories: Country, , All, 
Tag: allow_smartism_gods, Categories: Country, , All, 
Tag: monthly_doom, Categories: Country, , All, 
Tag: monthly_karma, Categories: Country, , All, 
Tag: monthly_karma_decay, Categories: Country, , All, 
Tag: number_of_allowed_religious_figures, Categories: Country, , All, 
Tag: number_of_allowed_avatars, Categories: Country, , All, 
Tag: tax_income_efficiency, Categories: Country, , All, 
Tag: global_sailors_modifier, Categories: Country, , All, 
Tag: global_manpower_modifier, Categories: Country, , All, 
Tag: local_sailors_modifier, Categories: Location, , All, 
Tag: local_manpower_modifier, Categories: Location, , All, 
Tag: free_building_levels, Categories: Location, , All, 
Tag: global_build_buildings_cost, Categories: Country, , All, 
Tag: global_fort_build_buildings_cost, Categories: Country, , All, 
Tag: global_port_build_buildings_cost, Categories: Country, , All, 
Tag: local_port_build_buildings_cost, Categories: Location, , All, 
Tag: global_urban_build_buildings_cost, Categories: Country, , All, 
Tag: global_rural_build_buildings_cost, Categories: Country, , All, 
Tag: local_build_buildings_cost, Categories: Location, , All, 
Tag: local_build_new_buildings_cost, Categories: Location, , All, 
Tag: army_weight_modifier, Categories: Unit, , All, 
Tag: navy_weight_modifier, Categories: Unit, , All, 
Tag: monthly_experience_gain, Categories: Unit, , All, 
Tag: experience_decay, Categories: Unit, , All, 
Tag: land_morale, Categories: Unit, , All, 
Tag: land_morale_modifier, Categories: Unit, , All, 
Tag: naval_morale, Categories: Unit, , All, 
Tag: naval_morale_modifier, Categories: Unit, , All, 
Tag: max_war_exhaustion, Categories: Country, , All, 
Tag: army_maintenance_cost, Categories: Unit, , All, 
Tag: navy_maintenance_cost, Categories: Unit, , All, 
Tag: mercenary_maintenance_cost, Categories: Country, , All, 
Tag: army_reinforce_cost, Categories: Unit, , All, 
Tag: navy_repair_cost, Categories: Unit, , All, 
Tag: land_morale_attrition_cost, Categories: Unit, , All, 
Tag: naval_morale_attrition_cost, Categories: Unit, , All, 
Tag: land_morale_movement_cost, Categories: Unit, , All, 
Tag: naval_morale_movement_cost, Categories: Unit, , All, 
Tag: morale_recovery_in_friendly, Categories: Unit, , All, 
Tag: land_morale_recovery, Categories: Unit, , All, 
Tag: naval_morale_recovery, Categories: Unit, , All, 
Tag: land_unit_attrition, Categories: Unit, , All, 
Tag: naval_unit_attrition, Categories: Unit, , All, 
Tag: movement_cost, Categories: Location, , All, 
Tag: army_movement_speed, Categories: Unit, , All, 
Tag: army_disembark_speed, Categories: Unit, , All, 
Tag: navy_movement_speed, Categories: Unit, , All, 
Tag: movement_speed_if_no_road, Categories: Unit, , All, 
Tag: fort_level, Categories: Location, , All, 
Tag: ignore_zone_of_control, Categories: Country, , All, 
Tag: propagating_zone_of_control, Categories: Location, , All, 
Tag: regiment_reinforcement_speed, Categories: Unit, , All, 
Tag: ship_repair_at_sea, Categories: Unit, , All, 
Tag: ship_repair_at_sea_to_max_strength, Categories: Unit, , All, 
Tag: cultural_tradition, Categories: Country, , All, 
Tag: cultural_tradition_modifier, Categories: Country, , All, 
Tag: local_cultural_tradition, Categories: Location, , All, 
Tag: cultural_influence, Categories: Country, , All, 
Tag: cultural_influence_modifier, Categories: Country, , All, 
Tag: local_cultural_influence, Categories: Location, , All, 
Tag: stability_investment, Categories: Country, , All, 
Tag: stability_decay, Categories: Country, , All, 
Tag: monthly_war_exhaustion, Categories: Country, , All, 
Tag: monthly_inflation, Categories: Country, , All, 
Tag: local_pop_promotion_speed_scaled, Categories: Location, , All, 
Tag: local_pop_promotion_speed, Categories: Location, , All, 
Tag: global_pop_promotion_speed, Categories: Country, , All, 
Tag: local_pop_promotion_speed_modifier, Categories: Location, , All, 
Tag: global_pop_promotion_speed_modifier, Categories: Country, , All, 
Tag: local_pop_demotion_speed, Categories: Location, , All, 
Tag: global_pop_demotion_speed, Categories: Country, , All, 
Tag: local_pop_demotion_speed_modifier, Categories: Location, , All, 
Tag: global_pop_demotion_speed_modifier, Categories: Country, , All, 
Tag: local_migration_attraction, Categories: Location, , All, 
Tag: local_migration_speed, Categories: Location, , All, 
Tag: global_migration_speed, Categories: Country, , All, 
Tag: local_migration_speed_modifier, Categories: Location, , All, 
Tag: global_migration_speed_modifier, Categories: Country, , All, 
Tag: local_pop_conversion_speed, Categories: Location, , All, 
Tag: global_pop_conversion_speed, Categories: Country, , All, 
Tag: local_pop_conversion_speed_modifier, Categories: Location, , All, 
Tag: global_pop_conversion_speed_modifier, Categories: Country, , All, 
Tag: local_pop_assimilation_speed, Categories: Location, , All, 
Tag: global_pop_assimilation_speed, Categories: Country, , All, 
Tag: local_pop_assimilation_speed_modifier, Categories: Location, , All, 
Tag: global_pop_assimilation_speed_modifier, Categories: Country, , All, 
Tag: local_raw_material_output, Categories: Location, , All, 
Tag: global_raw_material_output, Categories: Country, , All, 
Tag: raw_material_in_province_impact, Categories: Country, , All, 
Tag: local_monthly_prosperity, Categories: Location, , All, 
Tag: local_monthly_development, Categories: Location, , All, 
Tag: global_monthly_prosperity, Categories: Country, , All, 
Tag: global_monthly_development, Categories: Country, , All, 
Tag: power_projection, Categories: Country, , All, 
Tag: local_max_control, Categories: Location, , All, 
Tag: global_max_control, Categories: Country, , All, 
Tag: local_max_rural_control, Categories: Location, , All, 
Tag: global_max_rural_control, Categories: Country, , All, 
Tag: local_max_urban_control, Categories: Location, , All, 
Tag: global_max_urban_control, Categories: Country, , All, 
Tag: local_monthly_control, Categories: Location, , All, 
Tag: global_monthly_control, Categories: Country, , All, 
Tag: local_monthly_rural_control, Categories: Location, , All, 
Tag: global_monthly_rural_control, Categories: Country, , All, 
Tag: local_monthly_urban_control, Categories: Location, , All, 
Tag: global_monthly_urban_control, Categories: Country, , All, 
Tag: local_monthly_control_decline, Categories: Location, , All, 
Tag: global_monthly_control_decline, Categories: Country, , All, 
Tag: local_rgo_build_time, Categories: Location, , All, 
Tag: global_rgo_build_time, Categories: Country, , All, 
Tag: lack_of_control_impact_on_warscore, Categories: Country, , All, 
Tag: building_owner_maritime_presence, Categories: Location, , All, 
Tag: local_maritime_presence, Categories: Location, , All, 
Tag: global_maritime_presence_modifier, Categories: Unit, , All, 
Tag: global_maritime_presence_decay, Categories: Country, , All, 
Tag: port_cost_distance_from_capital, Categories: Country, , All, 
Tag: sea_cost_on_distance_from_capital_when_maritime, Categories: Country, , All, 
Tag: sea_cost_on_distance_from_capital, Categories: Country, , All, 
Tag: road_cost_on_distance_from_capital, Categories: Country, , All, 
Tag: land_cost_on_distance_from_capital, Categories: Country, , All, 
Tag: land_cost_on_distance_from_capital_modifier, Categories: Country, , All, 
Tag: land_cost_going_upstream, Categories: Country, , All, 
Tag: land_cost_going_downstream, Categories: Country, , All, 
Tag: land_cost_on_frozen_water, Categories: Country, , All, 
Tag: p_building_age_1_traditions_cost_modifier, Categories: Country, , All, 
Tag: p_building_age_2_renaissance_cost_modifier, Categories: Country, , All, 
Tag: p_building_age_3_discovery_cost_modifier, Categories: Country, , All, 
Tag: p_building_age_4_reformation_cost_modifier, Categories: Country, , All, 
Tag: p_building_age_5_absolutism_cost_modifier, Categories: Country, , All, 
Tag: p_building_age_6_revolutions_cost_modifier, Categories: Country, , All, 
Tag: p_expensive_building_age_1_traditions_cost_modifier, Categories: Country, , All, 
Tag: p_expensive_building_age_2_renaissance_cost_modifier, Categories: Country, , All, 
Tag: p_expensive_building_age_3_discovery_cost_modifier, Categories: Country, , All, 
Tag: p_expensive_building_age_4_reformation_cost_modifier, Categories: Country, , All, 
Tag: p_expensive_building_age_5_absolutism_cost_modifier, Categories: Country, , All, 
Tag: p_expensive_building_age_6_revolutions_cost_modifier, Categories: Country, , All, 
Tag: global_distance_from_capital_cost_modifier, Categories: Country, , All, 
Tag: local_distance_from_capital_cost_modifier, Categories: Location, , All, 
Tag: local_port_cost_distance_from_capital_modifier, Categories: Location, , All, 
Tag: local_proximity_source, Categories: Location, , All, 
Tag: local_road_building_time, Categories: Location, , All, 
Tag: global_road_building_time, Categories: Country, , All, 
Tag: local_manpower, Categories: Location, , All, 
Tag: local_sailors, Categories: Location, , All, 
Tag: local_population_growth, Categories: Location, , All, 
Tag: cap_maximum_population_growth_at_zero, Categories: Location, , All, 
Tag: global_population_growth, Categories: Country, , All, 
Tag: local_population_capacity, Categories: Location, , All, 
Tag: local_population_capacity_modifier, Categories: Location, , All, 
Tag: global_population_capacity_modifier, Categories: Country, , All, 
Tag: total_population_capacity_modifier, Categories: Location, , All, 
Tag: local_food_capacity, Categories: Location, , All, 
Tag: global_food_capacity, Categories: Country, , All, 
Tag: local_food_capacity_modifier, Categories: Location, , All, 
Tag: global_food_capacity_modifier, Categories: Country, , All, 
Tag: local_monthly_food, Categories: Location, , All, 
Tag: local_monthly_food_modifier, Categories: Location, , All, 
Tag: global_monthly_food_modifier, Categories: Country, , All, 
Tag: hostile_food_multiplier, Categories: Location, , All, 
Tag: local_navy_attrition, Categories: Location, , All, 
Tag: local_army_attrition, Categories: Location, , All, 
Tag: local_forced_attrition, Categories: Location, , All, 
Tag: local_hostile_attrition, Categories: Location, , All, 
Tag: global_hostile_attrition, Categories: Country, , All, 
Tag: hostile_fleet_attrition, Categories: Location, , All, 
Tag: max_attrition, Categories: Location, , All, 
Tag: supply_limit, Categories: Location, , All, 
Tag: local_supply_limit_modifier, Categories: Location, , All, 
Tag: global_supply_limit_modifier, Categories: Country, , All, 
Tag: bank_interest, Categories: Country, , All, 
Tag: merchant_power_from_maritime, Categories: Country, , All, 
Tag: merchant_power_from_maritime_modifier, Categories: Country, , All, 
Tag: merchant_power_from_building, Categories: Location, , All, 
Tag: local_merchant_power, Categories: Location, , All, 
Tag: local_merchant_capacity, Categories: Location, , All, 
Tag: merchant_capacity_from_building, Categories: Location, , All, 
Tag: global_merchant_capacity_modifier, Categories: Country, , All, 
Tag: monthly_prestige, Categories: Country, , All, 
Tag: monthly_rite_power, Categories: Country, , All, 
Tag: monthly_gold_income, Categories: Country, , All, 
Tag: monthly_gold_expense, Categories: Country, , All, 
Tag: prestige_decay, Categories: Country, , All, 
Tag: character_fertility, Categories: Character, , All, 
Tag: adm, Categories: Character, , All, 
Tag: dip, Categories: Character, , All, 
Tag: mil, Categories: Character, , All, 
Tag: global_garrison_growth, Categories: Country, , All, 
Tag: local_garrison_growth, Categories: Location, , All, 
Tag: global_garrison_size_modifier, Categories: Country, , All, 
Tag: local_garrison_size, Categories: Location, , All, 
Tag: global_defensive, Categories: Country, , All, 
Tag: local_defensive, Categories: Location, , All, 
Tag: occupation_time, Categories: Location, , All, 
Tag: retreat_delay, Categories: Country, , All, 
Tag: siege_ability, Categories: Unit, , All, 
Tag: assault_ability, Categories: Unit, , All, 
Tag: naval_damage_done, Categories: Unit, , All, 
Tag: naval_damage_taken, Categories: Unit, , All, 
Tag: discipline, Categories: Unit, , All, 
Tag: military_tactics, Categories: Unit, , All, 
Tag: ship_capture_chance, Categories: Country, , All, 
Tag: blockade_force_required, Categories: Location, , All, 
Tag: blockade_efficiency, Categories: Unit, , All, 
Tag: monthly_army_tradition, Categories: Country, , All, 
Tag: army_tradition_decay, Categories: Country, , All, 
Tag: monthly_navy_tradition, Categories: Country, , All, 
Tag: navy_tradition_decay, Categories: Country, , All, 
Tag: expected_army_size, Categories: Country, , All, 
Tag: expected_army_size_modifier, Categories: Country, , All, 
Tag: expected_navy_size, Categories: Country, , All, 
Tag: expected_navy_size_modifier, Categories: Country, , All, 
Tag: local_frontage_allowed, Categories: Location, , All, 
Tag: move_to_assist_on_adjacent_combat, Categories: Unit, , All, 
Tag: movement_speed_when_attached_to_another_unit, Categories: Unit, , All, 
Tag: possible_frontage_modifier, Categories: Unit, , All, 
Tag: army_initiative, Categories: Unit, , All, 
Tag: navy_initiative, Categories: Unit, , All, 
Tag: combat_speed_modifier, Categories: Unit, , All, 
Tag: food_consumption_modifier, Categories: Unit, , All, 
Tag: artillery_bonus_vs_fort, Categories: Country, , All, 
Tag: research_speed, Categories: Country, , All, 
Tag: research_speed_modifier, Categories: Country, , All, 
Tag: local_monthly_literacy, Categories: Location, , All, 
Tag: global_monthly_literacy, Categories: Country, , All, 
Tag: local_max_literacy, Categories: Location, , All, 
Tag: global_max_literacy, Categories: Country, , All, 
Tag: institution_growth, Categories: Country, , All, 
Tag: local_institution_growth_modifier, Categories: Location, , All, 
Tag: global_institution_growth_modifier, Categories: Country, , All, 
Tag: promote_institution_chance, Categories: Location, , All, 
Tag: estate_enrichment, Categories: Country, , All, 
Tag: supply_depot_capacity, Categories: Country, , All, 
Tag: annexation_speed, Categories: Country, , All, 
Tag: province_integration_speed, Categories: Province, , All, 
Tag: local_integration_speed, Categories: Location, , All, 
Tag: local_integration_speed_modifier, Categories: Location, , All, 
Tag: global_integration_speed_modifier, Categories: Country, , All, 
Tag: government_reform_slots, Categories: Country, , All, 
Tag: government_size, Categories: Country, , All, 
Tag: num_possible_artists, Categories: Country, , All, 
Tag: artist_salary_modifier, Categories: Country, , All, 
Tag: artist_salary_modifier_on_character, Categories: Character, , All, 
Tag: art_creation_speed, Categories: Character, , All, 
Tag: artist_impact, Categories: Character, , All, 
Tag: work_of_art_quality_modifier, Categories: Character, , All, 
Tag: artist_skill_level_gain, Categories: Character, , All, 
Tag: skill_of_new_artists, Categories: Country, , All, 
Tag: global_monthly_art_start_chance, Categories: Country, , All, 
Tag: artist_monthly_start_chance, Categories: Character, , All, 
Tag: global_merchant_power, Categories: Country, , All, 
Tag: monthly_legitimacy, Categories: Country, , All, 
Tag: monthly_republican_tradition, Categories: Country, , All, 
Tag: monthly_devotion, Categories: Country, , All, 
Tag: monthly_horde_unity, Categories: Country, , All, 
Tag: monthly_tribal_cohesion, Categories: Country, , All, 
Tag: character_cabinet_efficiency, Categories: Character, , All, 
Tag: country_cabinet_efficiency, Categories: Country, , All, 
Tag: subject_loyalty, Categories: Country, , All, 
Tag: loyalty_to_overlord, Categories: Country, , All, 
Tag: care_about_producing_heirs, Categories: Country, , All, 
Tag: prevented_from_changing_court_language_by_overlord, Categories: Country, , All, 
Tag: diplomatic_range, Categories: Country, , All, 
Tag: diplomatic_range_modifier, Categories: Country, , All, 
Tag: improve_relation_impact, Categories: Country, , All, 
Tag: casus_belli_creation_speed, Categories: Country, , All, 
Tag: casus_belli_creation_speed_modifier, Categories: Country, , All, 
Tag: subject_opinions, Categories: Country, , All, 
Tag: pop_countries_opinions, Categories: Country, , All, 
Tag: antagonism_received_modifier, Categories: Country, , All, 
Tag: antagonism_culture_influence, Categories: Country, , All, 
Tag: antagonism_societal_value_influence, Categories: Country, , All, 
Tag: antagonism_religion_influence, Categories: Country, , All, 
Tag: antagonism_government_type_influence, Categories: Country, , All, 
Tag: antagonism_revolution_influence, Categories: Country, , All, 
Tag: antagonism_language_influence, Categories: Country, , All, 
Tag: antagonism_taking_land_giving_modifier, Categories: Country, , All, 
Tag: antagonism_breaking_truce_giving_modifier, Categories: Country, , All, 
Tag: antagonism_declared_war_no_cb_giving_modifier, Categories: Country, , All, 
Tag: antagonism_monthly_change_modifier, Categories: Country, , All, 
Tag: global_war_score_cost, Categories: Country, , All, 
Tag: local_war_score_cost, Categories: Location, , All, 
Tag: global_tribal_promotion, Categories: Country, , All, 
Tag: local_tribal_promotion, Categories: Location, , All, 
Tag: enslave_tribals, Categories: Country, , All, 
Tag: expel_tribals, Categories: Country, , All, 
Tag: make_tribals_peasants, Categories: Country, , All, 
Tag: subject_income_modifier, Categories: Country, , All, 
Tag: payment_to_overlord_modifier, Categories: Country, , All, 
Tag: diplomatic_reputation, Categories: Country, , All, 
Tag: diplomatic_capacity, Categories: Country, , All, 
Tag: diplomatic_capacity_modifier, Categories: Country, , All, 
Tag: max_diplomats, Categories: Country, , All, 
Tag: monthly_diplomats, Categories: Country, , All, 
Tag: counter_espionage, Categories: Country, , All, 
Tag: spy_network_construction, Categories: Country, , All, 
Tag: naval_range, Categories: Country, , All, 
Tag: naval_range_modifier, Categories: Country, , All, 
Tag: colonial_range, Categories: Country, , All, 
Tag: colonial_range_modifier, Categories: Country, , All, 
Tag: blocked_from_forming_countries, Categories: Country, , All, 
Tag: ignore_same_religion_colonial_claim, Categories: Country, , All, 
Tag: army_tradition_from_battle, Categories: Country, , All, 
Tag: navy_tradition_from_battle, Categories: Country, , All, 
Tag: prestige_from_land_battle, Categories: Country, , All, 
Tag: prestige_from_naval_battle, Categories: Country, , All, 
Tag: wrong_culture_levy_size, Categories: Country, , All, 
Tag: local_levy_size_modifier, Categories: Location, , All, 
Tag: global_levy_size_modifier, Categories: Country, , All, 
Tag: levy_combat_efficiency, Categories: Unit, , All, 
Tag: levy_combat_efficiency_modifier, Categories: Unit, , All, 
Tag: levy_maintenance_modifier, Categories: Country, , All, 
Tag: local_army_levy_size_modifier, Categories: Location, , All, 
Tag: global_army_levy_size_modifier, Categories: Country, , All, 
Tag: local_navy_levy_size_modifier, Categories: Location, , All, 
Tag: global_navy_levy_size_modifier, Categories: Country, , All, 
Tag: local_levy_recruitment_speed_modifier, Categories: Location, , All, 
Tag: global_levy_recruitment_speed_modifier, Categories: Country, , All, 
Tag: regiment_recruit_speed, Categories: Country, , All, 
Tag: ship_build_speed, Categories: Country, , All, 
Tag: local_ship_build_speed, Categories: Location, , All, 
Tag: max_ships_built_at_same_time, Categories: Location, , All, 
Tag: max_regiments_trained_at_same_time, Categories: Location, , All, 
Tag: max_constructions_at_same_time, Categories: Location, , All, 
Tag: trade_efficiency, Categories: Country, , All, 
Tag: trade_income, Categories: Country, , All, 
Tag: local_production_efficiency, Categories: Location, , All, 
Tag: global_production_efficiency, Categories: Country, , All, 
Tag: hostile_disembark_time_modifier, Categories: Location, , All, 
Tag: friendly_disembark_time_modifier, Categories: Location, , All, 
Tag: natural_harbor_suitability, Categories: Location, , All, 
Tag: harbor_suitability, Categories: Location, , All, 
Tag: colonial_migration_size, Categories: Country, , All, 
Tag: colonial_migration_size_modifier, Categories: Country, , All, 
Tag: colonial_maintenance_cost, Categories: Country, , All, 
Tag: building_missionary_effort_scaled, Categories: Location, , All, 
Tag: building_missionary_effort, Categories: Location, , All, 
Tag: building_missionary_effort_modifier, Categories: Country, , All, 
Tag: building_enslavement_power, Categories: Location, , All, 
Tag: local_monthly_development_modifier, Categories: Location, , All, 
Tag: local_trade_center_power, Categories: Location, , All, 
Tag: global_trade_center_power, Categories: Country, , All, 
Tag: local_trade_protection_factor, Categories: Location, , All, 
Tag: global_trade_protection_factor, Categories: Country, , All, 
Tag: court_spending_cost, Categories: Country, , All, 
Tag: diplomatic_spending_cost, Categories: Country, , All, 
Tag: stability_cost, Categories: Country, , All, 
Tag: local_unrest, Categories: Location, , All, 
Tag: win_war_chance_threshold, Categories: Country, , All, 
Tag: war_declaration_stab_hit_tolerance, Categories: Country, , All, 
Tag: war_declaration_war_exhaustion_tolerance, Categories: Country, , All, 
Tag: local_separatism, Categories: Location, , All, 
Tag: global_separatism, Categories: Country, , All, 
Tag: tolerance_own, Categories: Country, , All, 
Tag: tolerance_heretic, Categories: Country, , All, 
Tag: tolerance_heathen, Categories: Country, , All, 
Tag: monthly_rebel_growth, Categories: Country, , All, 
Tag: monthly_nationalist_rebel_growth, Categories: Country, , All, 
Tag: monthly_religious_rebel_growth, Categories: Country, , All, 
Tag: monthly_pretender_rebel_growth, Categories: Country, , All, 
Tag: monthly_slave_rebel_growth, Categories: Country, , All, 
Tag: monthly_crown_estate_rebel_growth, Categories: Country, , All, 
Tag: monthly_nobles_estate_rebel_growth, Categories: Country, , All, 
Tag: monthly_clergy_estate_rebel_growth, Categories: Country, , All, 
Tag: monthly_burghers_estate_rebel_growth, Categories: Country, , All, 
Tag: monthly_peasants_estate_rebel_growth, Categories: Country, , All, 
Tag: monthly_dhimmi_estate_rebel_growth, Categories: Country, , All, 
Tag: monthly_tribes_estate_rebel_growth, Categories: Country, , All, 
Tag: monthly_cossacks_estate_rebel_growth, Categories: Country, , All, 
Tag: fort_limit, Categories: Country, , All, 
Tag: fort_limit_modifier, Categories: Country, , All, 
Tag: fort_maintenance_cost, Categories: Country, , All, 
Tag: local_fort_maintenance_cost, Categories: Location, , All, 
Tag: local_pop_join_rebel_threshold, Categories: Location, , All, 
Tag: pop_join_rebel_threshold, Categories: Country, , All, 
Tag: local_pop_leave_rebels_threshold, Categories: Location, , All, 
Tag: pop_leave_rebels_threshold, Categories: Country, , All, 
Tag: allow_slave_conversion, Categories: Country, , All, 
Tag: unemployed_slave_promotion, Categories: Country, , All, 
Tag: can_extract_horses, Categories: Country, , All, 
Tag: can_extract_clay, Categories: Country, , All, 
Tag: can_extract_sand, Categories: Country, , All, 
Tag: can_extract_coal, Categories: Country, , All, 
Tag: can_extract_iron, Categories: Country, , All, 
Tag: can_extract_copper, Categories: Country, , All, 
Tag: can_extract_goods_gold, Categories: Country, , All, 
Tag: can_extract_silver, Categories: Country, , All, 
Tag: can_extract_stone, Categories: Country, , All, 
Tag: can_extract_tin, Categories: Country, , All, 
Tag: can_extract_lead, Categories: Country, , All, 
Tag: can_extract_silk, Categories: Country, , All, 
Tag: can_extract_dyes, Categories: Country, , All, 
Tag: can_extract_incense, Categories: Country, , All, 
Tag: can_extract_tea, Categories: Country, , All, 
Tag: can_extract_cocoa, Categories: Country, , All, 
Tag: can_extract_coffee, Categories: Country, , All, 
Tag: can_extract_fiber_crops, Categories: Country, , All, 
Tag: can_extract_ivory, Categories: Country, , All, 
Tag: can_extract_fur, Categories: Country, , All, 
Tag: can_extract_lumber, Categories: Country, , All, 
Tag: can_extract_salt, Categories: Country, , All, 
Tag: can_extract_medicaments, Categories: Country, , All, 
Tag: can_extract_gems, Categories: Country, , All, 
Tag: can_extract_pearls, Categories: Country, , All, 
Tag: can_extract_amber, Categories: Country, , All, 
Tag: can_extract_saltpeter, Categories: Country, , All, 
Tag: can_extract_alum, Categories: Country, , All, 
Tag: can_extract_wine, Categories: Country, , All, 
Tag: can_extract_elephants, Categories: Country, , All, 
Tag: can_extract_marble, Categories: Country, , All, 
Tag: can_extract_mercury, Categories: Country, , All, 
Tag: can_extract_cotton, Categories: Country, , All, 
Tag: can_extract_sugar, Categories: Country, , All, 
Tag: can_extract_tobacco, Categories: Country, , All, 
Tag: can_extract_tar, Categories: Country, , All, 
Tag: can_extract_porcelain, Categories: Country, , All, 
Tag: can_extract_naval_supplies, Categories: Country, , All, 
Tag: can_extract_firearms, Categories: Country, , All, 
Tag: can_extract_cannons, Categories: Country, , All, 
Tag: can_extract_weaponry, Categories: Country, , All, 
Tag: can_extract_glass, Categories: Country, , All, 
Tag: can_extract_steel, Categories: Country, , All, 
Tag: can_extract_cloth, Categories: Country, , All, 
Tag: can_extract_fine_cloth, Categories: Country, , All, 
Tag: can_extract_liquor, Categories: Country, , All, 
Tag: can_extract_beer, Categories: Country, , All, 
Tag: can_extract_paper, Categories: Country, , All, 
Tag: can_extract_books, Categories: Country, , All, 
Tag: can_extract_jewelry, Categories: Country, , All, 
Tag: can_extract_leather, Categories: Country, , All, 
Tag: can_extract_tools, Categories: Country, , All, 
Tag: can_extract_masonry, Categories: Country, , All, 
Tag: can_extract_lacquerware, Categories: Country, , All, 
Tag: can_extract_wool, Categories: Country, , All, 
Tag: can_extract_wild_game, Categories: Country, , All, 
Tag: can_extract_fish, Categories: Country, , All, 
Tag: can_extract_wheat, Categories: Country, , All, 
Tag: can_extract_maize, Categories: Country, , All, 
Tag: can_extract_rice, Categories: Country, , All, 
Tag: can_extract_millet, Categories: Country, , All, 
Tag: can_extract_legumes, Categories: Country, , All, 
Tag: can_extract_potato, Categories: Country, , All, 
Tag: can_extract_livestock, Categories: Country, , All, 
Tag: can_extract_olives, Categories: Country, , All, 
Tag: can_extract_fruit, Categories: Country, , All, 
Tag: can_extract_slaves_goods, Categories: Country, , All, 
Tag: can_extract_cloves, Categories: Country, , All, 
Tag: can_extract_pepper, Categories: Country, , All, 
Tag: can_extract_saffron, Categories: Country, , All, 
Tag: can_extract_beeswax, Categories: Country, , All, 
Tag: can_extract_chili, Categories: Country, , All, 
Tag: can_extract_pottery, Categories: Country, , All, 
Tag: can_extract_furniture, Categories: Country, , All, 
Tag: ban_exports_of_cotton, Categories: Country, , All, 
Tag: ban_exports_of_sugar, Categories: Country, , All, 
Tag: ban_exports_of_tobacco, Categories: Country, , All, 
Tag: ban_exports_of_horses, Categories: Country, , All, 
Tag: ban_exports_of_clay, Categories: Country, , All, 
Tag: ban_exports_of_sand, Categories: Country, , All, 
Tag: ban_exports_of_coal, Categories: Country, , All, 
Tag: ban_exports_of_iron, Categories: Country, , All, 
Tag: ban_exports_of_copper, Categories: Country, , All, 
Tag: ban_exports_of_goods_gold, Categories: Country, , All, 
Tag: ban_exports_of_silver, Categories: Country, , All, 
Tag: ban_exports_of_stone, Categories: Country, , All, 
Tag: ban_exports_of_tin, Categories: Country, , All, 
Tag: ban_exports_of_lead, Categories: Country, , All, 
Tag: ban_exports_of_wool, Categories: Country, , All, 
Tag: ban_exports_of_silk, Categories: Country, , All, 
Tag: ban_exports_of_dyes, Categories: Country, , All, 
Tag: ban_exports_of_incense, Categories: Country, , All, 
Tag: ban_exports_of_tea, Categories: Country, , All, 
Tag: ban_exports_of_cocoa, Categories: Country, , All, 
Tag: ban_exports_of_coffee, Categories: Country, , All, 
Tag: ban_exports_of_fiber_crops, Categories: Country, , All, 
Tag: ban_exports_of_ivory, Categories: Country, , All, 
Tag: ban_exports_of_fur, Categories: Country, , All, 
Tag: ban_exports_of_lumber, Categories: Country, , All, 
Tag: ban_exports_of_salt, Categories: Country, , All, 
Tag: ban_exports_of_medicaments, Categories: Country, , All, 
Tag: ban_exports_of_gems, Categories: Country, , All, 
Tag: ban_exports_of_pearls, Categories: Country, , All, 
Tag: ban_exports_of_amber, Categories: Country, , All, 
Tag: ban_exports_of_saltpeter, Categories: Country, , All, 
Tag: ban_exports_of_alum, Categories: Country, , All, 
Tag: ban_exports_of_wine, Categories: Country, , All, 
Tag: ban_exports_of_elephants, Categories: Country, , All, 
Tag: ban_exports_of_slaves_goods, Categories: Country, , All, 
Tag: ban_exports_of_wild_game, Categories: Country, , All, 
Tag: ban_exports_of_fish, Categories: Country, , All, 
Tag: ban_exports_of_wheat, Categories: Country, , All, 
Tag: ban_exports_of_maize, Categories: Country, , All, 
Tag: ban_exports_of_rice, Categories: Country, , All, 
Tag: ban_exports_of_millet, Categories: Country, , All, 
Tag: ban_exports_of_legumes, Categories: Country, , All, 
Tag: ban_exports_of_potato, Categories: Country, , All, 
Tag: ban_exports_of_livestock, Categories: Country, , All, 
Tag: ban_exports_of_olives, Categories: Country, , All, 
Tag: ban_exports_of_fruit, Categories: Country, , All, 
Tag: ban_exports_of_tar, Categories: Country, , All, 
Tag: ban_exports_of_porcelain, Categories: Country, , All, 
Tag: ban_exports_of_naval_supplies, Categories: Country, , All, 
Tag: ban_exports_of_weaponry, Categories: Country, , All, 
Tag: ban_exports_of_glass, Categories: Country, , All, 
Tag: ban_exports_of_steel, Categories: Country, , All, 
Tag: ban_exports_of_cloth, Categories: Country, , All, 
Tag: ban_exports_of_fine_cloth, Categories: Country, , All, 
Tag: ban_exports_of_liquor, Categories: Country, , All, 
Tag: ban_exports_of_beer, Categories: Country, , All, 
Tag: ban_exports_of_paper, Categories: Country, , All, 
Tag: ban_exports_of_books, Categories: Country, , All, 
Tag: ban_exports_of_jewelry, Categories: Country, , All, 
Tag: ban_exports_of_leather, Categories: Country, , All, 
Tag: ban_exports_of_tools, Categories: Country, , All, 
Tag: ban_exports_of_lacquerware, Categories: Country, , All, 
Tag: ban_imports_of_cotton, Categories: Country, , All, 
Tag: ban_imports_of_sugar, Categories: Country, , All, 
Tag: ban_imports_of_tobacco, Categories: Country, , All, 
